Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,11:22:30,9,shade,old,3,284.0,0,-0.163,0.0351,102,1.18,3.26,31.73,6,1.42,1,2.84,30.22,31.73,29.95,100.08,100.15,12.834,14.573,29.44,33.43,400.1,2000,8,99.01,5.51,-0.0452,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,11:24:29,9,shade,old,3,403.5,0,-0.517,0.0357,68.2,1.19,3.24,31.72,6,1.42,1,2.84,30.21,31.72,29.95,47.16,47.85,13.038,14.794,29.94,33.97,400.1,2000,9,99.01,4.71,-0.0501,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
4,11:26:28,9,shade,old,3,522.0,0,-0.136,0.0355,99.7,1.22,3.33,32.16,6,1.42,1,2.84,30.21,32.16,29.95,99.01,99.03,13.248,15.049,30.42,34.56,400.0,1999,9,99.01,5.37,-0.0517,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,11:28:27,9,shade,old,3,641.5,0,0.682,0.0368,112,1.26,3.33,32.27,6,1.42,1,2.84,30.23,32.27,29.94,150.52,149.21,13.477,15.341,30.91,35.19,400.0,1999,9,99.01,5.84,-0.0588,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,11:30:26,9,shade,old,3,760.0,0,1.36,0.0383,179,1.31,3.31,32.30,6,1.42,1,2.84,30.23,32.30,29.95,251.19,248.66,13.710,15.636,31.44,35.86,400.1,1999,7,99.01,6.46,-0.0581,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,11:32:25,9,shade,old,3,879.5,0,2.7,0.0387,218,1.31,3.29,32.30,6,1.42,1,2.84,30.26,32.30,29.94,350.72,345.99,13.932,15.865,31.89,36.32,400.1,2001,8,99,6.91,-0.0651,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,11:34:24,9,shade,old,3,998.0,0,3.47,0.0382,371,1.29,3.27,32.31,6,1.42,1,2.84,30.24,32.31,29.94,549.38,543.13,14.137,16.039,32.40,36.76,400.1,2000,7,98.99,7.84,-0.062,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,11:36:23,9,shade,old,3,1117.5,0,4.98,0.0364,487,1.22,3.26,32.31,6,1.42,1,2.84,30.23,32.31,29.94,750.32,741.50,14.345,16.152,32.89,37.04,400.1,2000,9,98.99,7.18,-0.0609,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,11:38:33,9,shade,old,3,1247.5,0,5.84,0.0343,671,1.11,3.14,31.90,6,1.42,1,2.84,30.24,31.90,29.94,1000.10,989.68,14.585,16.224,33.43,37.18,400.1,2000,9,98.99,5.57,-0.0558,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,11:40:37,9,shade,old,3,1371.5,0,6.39,0.0309,848,1.04,3.26,32.37,6,1.42,1,2.84,30.25,32.37,29.94,1250.93,1239.41,14.822,16.355,33.95,37.46,400.1,1999,8,98.98,3.74,-0.0597,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
