"Site","Plot","USDA_Species","Tree_Plant_Number","Leaf_Number","Canopy_Position","Leaf_Age","Sample_Name","Rep","Date","LiCor","Area_Corrected","Absorption_Corrected","QC","Obs","HHMMSS","FTime","Ebal","Photo","Cond","Ci","FCnt","DCnt","Fo","Fm","Fo_Prime","Fm_Prime","Fs","Fv_over_Fm","Fv_Prime_over_Fm_Prime","PhiPS2","Adark","RedAbs","BlueAbs","Perc_Blue","LeafAbs","PhiCO2","qP","qN","NPQ","ParIn_at_Fs","PS2_over_1","ETR","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R_W_m2","Tl_minus_Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci_over_Ca","RHsfc","C2sfc","Ahs_over_Cs","Fv","PARabs","Fv_Prime","qP_Fo","qN_Fo"
"MCON","Tower","ABCO",1,1,"B","1yr","MCON_Tower_ABCO_L1B1_GE",1,20130619,"PSC0463","Yes","No",0,1,"06:34:10",2011.999999,0,10.72465036,0.075129511,157.1308187,1,1,0,0,824.1645508,1377.68811,1256.388062,-9999,0.401777119,0.088046088,-1,0.87,0.92,8.132147789,0.874066074,0.008257541,0.219141619,1.671617772,-1,1624.44458,0.5,62.50708309,1.191066797,1.248400547,19.66580963,1.64666,5.123685032,1,10.24737006,17.04726601,19.66580963,17.1163826,400.1393127,393.9964905,12.50620651,13.15122509,51.19915009,53.83979416,300.0671387,1624.44458,1.139953256,79.84713745,2.920705318,-0.145844758,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.822277451,0.001191067,292.8158096,290.197266,259.911127,0.654444966,2.298488224,28.78610677,15.63488168,18.35653782,2.11817712,0.074582702,1.050087677,1.068089442,0.046663009,12.54644608,0.398812737,44.92650703,392.583613,0.012273082,0,1419.871896,553.5235596,0.088046088,-9999
"MCON","Tower","ABCO",1,1,"B","1yr","MCON_Tower_ABCO_L1B1_GE",1,20130619,"PSC0463","Yes","No",0,2,"06:36:09",2131.499999,0,6.53347442,0.073599839,97.66515157,2,2,0,0,832.4592285,1326.138428,1232.231201,-9999,0.372268225,0.070812537,-1,0.87,0.92,7.923322678,0.873961661,0.003656515,0.190219128,1.593037091,-1,2357.412598,0.5,72.94711833,1.156328755,1.237083628,19.61372948,1.64666,5.123685032,1,10.24737006,17.02728653,19.61372948,17.10617447,248.6437378,244.9031525,12.57324505,13.19939518,51.54121017,54.10797119,300.0794067,2357.412598,1.200208187,79.85087585,2.481511593,-0.148143113,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.822351953,0.001156329,292.7637295,290.1772865,377.1860072,1.089077904,2.291066894,28.69181921,15.49242403,18.320508,2.113395767,0.073074991,1.053983266,1.059412501,0.045718735,7.798647893,0.398790912,45.24215125,244.0424252,0.012112174,0,2060.28823,493.6791992,0.070812537,-9999
"MCON","Tower","ABCO",1,1,"B","1yr","MCON_Tower_ABCO_L1B1_GE",1,20130619,"PSC0463","Yes","No",0,3,"06:39:07",2309.499998,0,1.477754512,0.073499974,65.05817234,3,3,0,0,851.3984375,1295.721558,1216.992676,-9999,0.342915588,0.060760648,-1,0.87,0.92,8.132147789,0.874066074,0.001202544,0.177188353,1.521874484,-1,2357.291016,0.5,62.59647364,1.131057993,1.211774723,19.49650383,1.64666,5.123685032,1,10.24737006,17.03614807,19.49650383,17.11776352,100.3350525,99.46237946,12.6953373,13.30776119,52.01387024,54.52301788,300.0671082,2357.291016,1.352416754,79.8529892,2.080800533,-0.148131669,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.822277265,0.001131058,292.6465038,290.1861481,377.1665541,1.098084558,2.274439234,28.48283147,15.17507028,18.26632595,2.106223335,0.072976545,1.062664511,1.043558824,0.045657081,5.195089533,0.65409829,45.9725432,99.26769842,0.00684373,0,2060.428103,444.3231201,0.060760648,-9999
"MCON","Tower","ABCO",1,1,"B","1yr","MCON_Tower_ABCO_L1B1_GE",1,20130619,"PSC0463","Yes","No",0,4,"06:42:29",2510.499999,0,0.02386606,0.077657773,47.89460108,4,4,0,0,851.9282227,1277.156494,1211.108398,-9999,0.33294923,0.051714959,-1,0.87,0.92,12.87878799,0.876439394,0.000717697,0.155323858,1.499136265,-1,1627.721313,0.5,36.88825649,1.22327201,1.240411234,19.8226223,1.64666,5.123685032,1,10.24737006,17.08690453,19.8226223,17.11421204,49.67282104,49.62641144,12.86932278,13.53151512,52.55832291,55.2627182,300.0723877,1627.721313,1.171678662,79.85431671,1.956372738,-0.152389824,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.822309327,0.001223272,292.9726223,290.2369045,260.4354043,0.646466221,2.320961128,29.06494256,15.53342744,18.45476341,2.131260411,0.077073684,1.080549894,1.050710517,0.048223191,3.824590643,0.965103051,45.80382471,49.6232673,0.000220291,0,1426.599082,425.2282715,0.051714959,-9999
"MCON","Tower","ABCO",1,1,"B","1yr","MCON_Tower_ABCO_L1B1_GE",1,20130619,"PSC0463","Yes","No",0,5,"06:45:15",2676.499999,0,11.28690611,0.083076784,167.7000288,5,5,0,0,819.5344238,1355.497192,1226.020508,-9999,0.395399394,0.0955197,-1,0.87,0.92,7.923322678,0.873961661,0.005970387,0.241577759,1.653984449,-1,2354.765381,0.5,98.28856082,1.242002292,1.17818568,19.46002388,1.64666,5.123685032,1,10.24737006,17.11738205,19.46002388,17.11886024,399.805481,393.3435059,12.9913435,13.66360092,52.95451736,55.69473267,300.0653076,2354.765381,1.155836821,79.85455322,2.958631039,-0.15124923,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.822266331,0.001242002,292.6100239,290.267382,376.7624525,1.083338624,2.269286427,28.41774621,14.75414529,18.28870296,2.109182934,0.082408686,1.091100747,1.018082187,0.051565039,13.39161088,0.426344979,47.39184286,391.8565562,0.013650589,0,2057.974664,535.9627686,0.0955197,-9999
"MCON","Tower","ABCO",1,1,"B","1yr","MCON_Tower_ABCO_L1B1_GE",1,20130619,"PSC0463","Yes","No",1,6,"06:47:24",2806.499999,0,23.16208742,0.084503515,429.5203835,6,6,0,0,807.2636719,1477.424561,1280.570801,-9999,0.45360075,0.133241158,-1,0.87,0.92,12.90934944,0.876454675,0.015495037,0.293741045,1.830163566,-1,1779.14917,0.5,103.8843742,1.2584255,1.173733247,19.47689438,1.64666,5.123685032,1,10.24737006,17.13163567,19.47689438,17.11533165,900.2883911,886.9656372,13.06776428,13.74883366,53.2193222,55.9930191,300.0734863,1779.14917,1.162176728,79.85658264,3.868237972,-0.150116265,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.822315999,0.001258425,292.6268944,290.2816357,284.6638608,0.744637176,2.271668118,28.44684863,14.69801497,18.30426502,2.111243333,0.083812368,1.097934871,1.013308462,0.05244439,34.30003,0.484258201,47.64977242,883.9142379,0.012486146,0,1559.343607,670.1608887,0.133241158,-9999
"MCON","Tower","ABCO",1,1,"B","1yr","MCON_Tower_ABCO_L1B1_GE",1,20130619,"PSC0463","Yes","No",0,7,"06:49:44",2945.999999,0,20.84092439,0.0844691,765.8652009,7,7,0,0,813.0678711,1497.557129,1324.543457,-9999,0.457070548,0.115530599,-1,0.87,0.92,7.923322678,0.873961661,0.010617001,0.252763166,1.841859926,-1,2353.839111,0.5,118.8327603,1.295514567,1.208481818,19.78282928,1.64666,5.123685032,1,10.24737006,17.16260338,19.78282928,17.1121788,1199.834106,1187.553955,13.1574831,13.85851288,53.48290634,56.33247375,300.0882568,2353.839111,1.430132508,79.86126709,4.466260433,-0.151208222,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.822405699,0.001295515,292.9328293,290.3126034,376.6142494,1.063057212,2.315240217,28.9907774,15.13226452,18.47271633,2.133659319,0.083778513,1.106758398,1.026900921,0.052423181,61.16296536,0.644909815,47.09647962,1184.808348,0.008284329,0,2057.16514,684.4892578,0.115530599,-9999
"MCON","Tower","ABCO",1,1,"B","1yr","MCON_Tower_ABCO_L1B1_GE",1,20130619,"PSC0463","Yes","No",0,8,"06:51:54",3076.499999,0,22.07214624,0.084144178,1034.706959,8,8,0,0,816.9453125,1469.559082,1306.635498,-9999,0.444088147,0.110865624,-1,0.87,0.92,7.923322678,0.873961661,0.01120949,0.249647788,1.798846336,-1,2355.102295,0.5,114.0956444,1.243731087,1.164998139,19.44879913,1.64666,5.123685032,1,10.24737006,17.09376144,19.44879913,17.11212921,1500.519409,1487.392212,13.13476276,13.80783463,53.62344742,56.37130356,300.0755005,2355.102295,1.553778529,79.86080933,4.823926449,-0.149044335,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.822328231,0.001243731,292.5987991,290.2437614,376.8163588,1.082796172,2.267702987,28.39569253,14.58785791,18.27128029,2.106878285,0.083458872,1.102704848,1.004173437,0.052222936,82.63253518,0.695651726,47.94649776,1484.484403,0.007128954,0,2058.269114,652.6137695,0.110865624,-9999
"MCON","Tower","ABCO",1,1,"B","1yr","MCON_Tower_ABCO_L1B1_GE",1,20130619,"PSC0463","Yes","No",0,9,"06:55:06",3267.999997,0,19.56152532,0.086070578,506.1365645,9,9,0,0,814.5556641,1439.136597,1269.085571,-9999,0.433996977,0.118161838,-1,0.87,0.92,8.132147789,0.874066074,0.009988877,0.272264196,1.766775016,-1,2355.018799,0.5,121.6146472,1.292924101,1.184077749,19.61436844,1.64666,5.123685032,1,10.24737006,17.12953186,19.61436844,17.10937309,900.644043,889.2785034,13.16184235,13.86151314,53.61671829,56.46693039,300.0690002,2355.018799,1.550631523,79.8671875,4.089612484,-0.153685868,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.822288756,0.001292924,292.7643684,290.2795319,376.8029994,1.069612868,2.291157817,28.68709778,14.82558464,18.37195015,2.120225315,0.085353669,1.107080069,1.013145246,0.053409993,40.4237039,0.569154165,47.63613482,886.7014462,0.01050901,0,2058.442035,624.5809326,0.118161838,-9999
"MCON","Tower","ABCO",1,1,"B","1yr","MCON_Tower_ABCO_L1B1_GE",2,20130619,"PSC0463","Yes","No",0,10,"07:10:17",4178.999999,0,12.29768289,0.105666379,195.1880456,10,10,0,0,815.9880371,1341.908081,1180.964355,-9999,0.391919574,0.119936475,-1,0.87,0.92,16.01779747,0.878008899,0.011662565,0.306023182,1.644519307,-1,1298.622681,0.5,68.37592075,2.236769367,1.666047497,22.9195652,1.64666,5.123685032,1,10.24737006,23.29792976,22.9195652,25.10515404,400.3247681,393.0939026,13.06211662,14.27202892,36.3408165,39.70697784,300.0739746,1298.622681,2.183233976,79.87483215,3.338853359,-0.159328759,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.822318965,0.002236769,296.0695652,296.4479298,207.7796243,0.412971798,2.806023412,35.13025738,20.85822846,23.10874748,2.838334774,0.104587914,1.139975915,1.69835886,0.065463492,15.59061238,0.496543051,39.74361814,391.4737921,0.012484984,0,1140.20227,525.9200439,0.119936475,-9999
